State,District,Latitude,Longitude
Andaman and Nicobar Islands,North and Middle Andaman,12.6519,92.8976
Andaman and Nicobar Islands,South Andaman,11.7401,92.6586
Andaman and Nicobar Islands,Nicobar,7.835291,93.5116
Andhra Pradesh,Adilabad,19.28451,78.81321
Andhra Pradesh,Anantapur,14.31207,77.46016
Andhra Pradesh,Chittoor,13.33109,78.92764
Andhra Pradesh,Cuddapah,14.49029,78.69614
Andhra Pradesh,East Godavari,16.78272,82.24321
Andhra Pradesh,Guntur,15.88493,80.58658
Andhra Pradesh,Hyderabad,17.38972,78.46669
Andhra Pradesh,Karimnagar,18.51548,79.43765
Andhra Pradesh,Khammam,17.68392,80.67009
Andhra Pradesh,Krishna,16.14387,81.14805
Andhra Pradesh,Kurnool,15.4376,77.90087
Andhra Pradesh,Mahbubnagar,16.63955,77.98933
Andhra Pradesh,Medak,17.8893,78.13779
Andhra Pradesh,Nalgonda,17.11325,79.16984
Andhra Pradesh,Nellore,13.89434,80.14703
Andhra Pradesh,Nizamabad,18.42949,78.07523
Andhra Pradesh,Prakasam,15.48904,80.11666
Andhra Pradesh,Rangareddi,17.24524,78.05757
Andhra Pradesh,Srikakulam,18.5709,84.25875
Andhra Pradesh,Visakhapatanam,17.64684,83.01014
Andhra Pradesh,Vizianagaram,18.2833,83.45983
Andhra Pradesh,Warangal,18.01753,79.87422
Andhra Pradesh,West Godavari,16.63298,81.45913
Arunachal Pradesh,Anjaw,28.06549,96.82878
Arunachal Pradesh,Changlang,27.36048,96.37553
Arunachal Pradesh,East Kameng,27.37119,93.04741
Arunachal Pradesh,East Siang,28.15382,95.06499
Arunachal Pradesh,Kurung Kumey,28.04853,93.24532
Arunachal Pradesh,Lohit,27.94679,96.59671
Arunachal Pradesh,Dibang Valley,28.8129,96.1527
Arunachal Pradesh,Lower Dibang Valley,28.32652,95.76567
Arunachal Pradesh,Longding,26.8728,95.3057
Arunachal Pradesh,Lower Subansiri,27.70849,93.96226
Arunachal Pradesh,Namsai,27.6692,95.8644
Arunachal Pradesh,Papum Pare,27.27353,93.54468
Arunachal Pradesh,Tawang,27.68068,91.82504
Arunachal Pradesh,Tirap,26.94406,95.4147
Arunachal Pradesh,Upper Dibang Valley,29.01995,95.98776
Arunachal Pradesh,Upper Siang,28.83092,95.00156
Arunachal Pradesh,Upper Subansiri,28.2772,93.89914
Arunachal Pradesh,West Kameng,27.46487,92.65016
Arunachal Pradesh,West Siang,28.1063,94.5351
Assam,Baksa,26.6935,91.5984
Assam,Barpeta,26.42787,90.97912
Assam,Bongaigaon,26.45013,90.67343
Assam,Cachar,24.81557,92.8685
Assam,Chirang,26.6539,90.6394
Assam,Darrang,26.58463,92.04141
Assam,Dhemaji,27.58653,94.71337
Assam,Dhubri,26.04506,89.98501
Assam,Dibrugarh,27.30612,95.09983
Assam,Dima Hasao,25.3478,93.0176
Assam,Goalpara,26.01728,90.5987
Assam,Golaghat,26.37722,93.82583
Assam,Hailakandi,24.4575,92.59155
Assam,Jorhat,26.76245,94.30198
Assam,Kamrup,26.17094,91.58863
Assam,Kamrup Metropolitan,26.0794,91.6372
Assam,Karbi Anglong,26.08966,93.11537
Assam,Karimganj,24.69661,92.36795
Assam,Kokrajhar,26.49725,90.13997
Assam,Lakhimpur,27.14129,94.07759
Assam,Marigaon,26.2465,92.2195
Assam,Nagaon,26.26462,92.93062
Assam,Nalbari,26.46324,91.40599
Assam,North Cachar Hills,25.3383,92.9774
Assam,Sivasagar,27.02763,94.90026
Assam,Sonitpur,26.73515,92.85198
Assam,Tinsukia,27.53549,95.69056
Assam,Udalguri,26.6897,91.9099
Bihar,Araria,26.21153,87.30767
Bihar,Arwal,25.1643,84.6688
Bihar,Aurangabad,24.77429,84.45986
Bihar,Banka,24.83236,86.86649
Bihar,Begusarai,25.54303,86.1256
Bihar,Kaimur,25.02157,83.61128
Bihar,Bhagalpur,25.27719,87.04214
Bihar,Bhojpur,25.50666,84.49408
Bihar,Buxar,25.48593,84.08808
Bihar,Darbhanga,26.14619,85.97387
Bihar,Gaya,24.72665,84.94291
Bihar,Gopalganj,26.44874,84.34636
Bihar,Jamui,24.78418,86.26316
Bihar,Jehanabad,25.15568,84.92081
Bihar,Katihar,25.56565,87.70466
Bihar,Khagaria,25.53559,86.56593
Bihar,Kishanganj,26.32434,87.95045
Bihar,Lakhisarai,25.18345,86.12826
Bihar,Madhepura,25.77342,86.89784
Bihar,Madhubani,26.41381,86.16328
Bihar,Munger,25.19854,86.54174
Bihar,Muzaffarpur,26.18664,85.32745
Bihar,Nalanda,25.22935,85.48053
Bihar,Nawada,24.82571,85.61595
Bihar,Pashchim Champaran,27.16064,84.30266
Bihar,Patna,25.40297,85.31984
Bihar,Purvi Champaran,26.68129,85.00382
Bihar,Purnia,25.81715,87.40448
Bihar,Rohtas,24.9917,83.93508
Bihar,Saharsa,25.82127,86.54671
Bihar,Samastipur,25.79321,85.94833
Bihar,Saran,25.89656,84.82266
Bihar,Sheikhpura,25.12472,85.77839
Bihar,Sheohar,26.45838,85.29539
Bihar,Sitamarhi,26.5657,85.61172
Bihar,Siwan,26.17364,84.33767
Bihar,Supaul,26.28158,86.78496
Bihar,Vaishali,25.81347,85.39248
Chandigarh,Chandigarh,30.7426,76.75872
Chhattisgarh,Balod,20.775,81.2519
Chhattisgarh,Baloda Bazar,21.5914,82.4753
Chhattisgarh,Bastar,19.39387,81.52895
Chhattisgarh,Bemetara,21.6894,81.5596
Chhattisgarh,Bilaspur,22.35694,81.9977
Chhattisgarh,Dantewada,18.65385,81.072
Chhattisgarh,Dhamtari,20.55491,81.75692
Chhattisgarh,Durg,21.19446,81.33182
Chhattisgarh,Gariaband,20.2571,82.3018
Chhattisgarh,Janjgir-Champa,21.96109,82.80495
Chhattisgarh,Jashpur,22.77286,83.8704
Chhattisgarh,Kanker,20.13946,81.06913
Chhattisgarh,Kabirdham,22.048,81.16271
Chhattisgarh,Korba,22.49171,82.57604
Chhattisgarh,Koriya,23.50413,82.12516
Chhattisgarh,Kondagaon,19.847,81.6035
Chhattisgarh,Mahasamund,21.22373,82.65925
Chhattisgarh,Mungeli,22.1716,81.7349
Chhattisgarh,Narayanpur,19.7196,81.2472
Chhattisgarh,Raigarh,22.00827,83.27798
Chhattisgarh,Raipur,20.88603,82.20033
Chhattisgarh,Rajnandgaon,21.05841,80.78527
Chhattisgarh,Sukma,18.1334,81.2519
Chhattisgarh,Surajpur,23.5027,82.821
Chhattisgarh,Surguja,23.32719,83.23582
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.21513,73.09455
Daman and Diu,Daman,20.43162,72.83924
Daman and Diu,Junagadh,20.72568,70.83986
Delhi,Delhi,28.64594,77.12805
Goa,North Goa,15.54872,73.80668
Goa,South Goa,15.19528,73.94179
Gujarat,Ahmadabad,22.60543,72.23898
Gujarat,Amreli,21.04833,71.43458
Gujarat,Anand,22.28272,72.57782
Gujarat,Banas Kantha,24.25854,71.93205
Gujarat,Bharuch,21.75787,72.67326
Gujarat,Bhavnagar,21.70219,72.16273
Gujarat,Dahod,22.89799,73.99171
Gujarat,Dang,20.8254,73.7007
Gujarat,Gandhinagar,23.19368,72.67222
Gujarat,Jamnagar,22.4106,69.62062
Gujarat,Junagadh,20.92952,70.54734
Gujarat,Kachchh,23.48057,68.82192
Gujarat,Kheda,22.88765,73.0188
Gujarat,Mahesana,23.52936,72.45545
Gujarat,Narmada,21.70666,73.68403
Gujarat,Navsari,20.86697,72.86185
Gujarat,Panch Mahals,22.80436,73.61985
Gujarat,Patan,23.80634,71.75163
Gujarat,Porbandar,21.55092,69.71897
Gujarat,Rajkot,22.40603,70.83679
Gujarat,Sabar Kantha,23.71804,73.13639
Gujarat,Surat,21.25761,72.93489
Gujarat,Surendranagar,22.82672,71.48359
Gujarat,Tapi,21.2789,73.6065
Gujarat,The Dangs,20.80163,73.68835
Gujarat,Vadodara,22.26134,73.49433
Gujarat,Valsad,20.44238,72.91486
Haryana,Ambala,30.35037,76.9497
Haryana,Bhiwani,28.72887,76.0211
Haryana,Faridabad,28.14873,77.32719
Haryana,Fatehabad,29.57298,75.54609
Haryana,Gurgaon,28.04389,77.01935
Haryana,Hisar,29.23629,75.84325
Haryana,Jhajjar,28.59652,76.61137
Haryana,Jind,29.4515,76.29599
Haryana,Kaithal,29.96069,76.37699
Haryana,Karnal,29.7032,76.87488
Haryana,Kurukshetra,30.05653,76.78775
Haryana,Mahendragarh,28.13522,76.14018
Haryana,Mewat,28.0107,77.0564
Haryana,Palwal,28.1473,77.326
Haryana,Panchkula,30.7009,76.97173
Haryana,Panipat,29.34352,76.92896
Haryana,Rewari,28.19165,76.55956
Haryana,Rohtak,28.89252,76.53123
Haryana,Sirsa,29.63583,74.9097
Haryana,Sonipat,29.05806,76.85587
Haryana,YAMUNANAGAR,30.26466,77.31653
Himachal Pradesh,Bilaspur,31.37804,76.65316
Himachal Pradesh,Chamba,32.66742,76.39354
Himachal Pradesh,Hamirpur,31.67668,76.49767
Himachal Pradesh,Kangra,32.14094,76.41206
Himachal Pradesh,Kinnaur,31.60667,78.51614
Himachal Pradesh,Kullu,31.90912,77.40923
Himachal Pradesh,Lahul and Spiti,32.51717,77.62471
Himachal Pradesh,Mandi,31.63581,76.96557
Himachal Pradesh,Shimla,31.15573,77.62573
Himachal Pradesh,Sirmaur,30.68276,77.43185
Himachal Pradesh,Solan,31.03864,76.94442
Himachal Pradesh,Una,31.5833,76.18354
Jammu and Kashmir,ANANTNAG,33.76027,75.30391
Jammu and Kashmir,BADGAM,33.93258,74.79798
Jammu and Kashmir,BANDIPORA,34.4234,74.6423
Jammu and Kashmir,BARAMULLA,34.38125,74.7636
Jammu and Kashmir,Doda,33.35961,76.07164
Jammu and Kashmir,Jammu,32.7132,74.84775
Jammu and Kashmir,Kargil,33.56599,76.63675
Jammu and Kashmir,Kathua,32.51782,75.58901
Jammu and Kashmir,KUPWARA,34.59923,74.21588
Jammu and Kashmir,Leh Ladakh,33.58579,78.30726
Jammu and Kashmir,Pulwama,33.88414,75.00922
Jammu and Kashmir,POONCH,33.79124,74.29593
Jammu and Kashmir,Kishtwar,33.5194,75.8999
Jammu and Kashmir,Reasi,33.0828,74.8333
Jammu and Kashmir,SAMBA,32.7266,74.857
Jammu and Kashmir,Shopian,33.7253,74.8277
Jammu and Kashmir,Kulgam,33.6451,75.0185
Jammu and Kashmir,KUPWARA,34.0333332,74.2666656
Jammu and Kashmir,Rajauri,33.27232,74.40777
Jammu and Kashmir,Srinagar,34.27313,75.11021
Jammu and Kashmir,Ramban,33.2411,75.2382
Jammu and Kashmir,Ganderbal,34.216496,74.771942
Jammu and Kashmir,Udhampur,33.04771,75.15287
Jharkhand,Bokaro,23.6815,85.98398
Jharkhand,Chatra,24.1162,84.93296
Jharkhand,Deoghar,24.3307,86.75698
Jharkhand,Dhanbad,23.85451,86.40373
Jharkhand,Dumka,24.27501,87.27662
Jharkhand,Garhwa,24.08211,83.68664
Jharkhand,Giridih,24.30579,86.08711
Jharkhand,Godda,24.8189,87.29417
Jharkhand,Gumla,23.07853,84.55057
Jharkhand,Hazaribagh,23.94324,85.49441
Jharkhand,Jamtara,23.97873,86.95325
Jharkhand,Khunti,23.0769,85.2806
Jharkhand,Koderma,24.55672,85.71691
Jharkhand,Latehar,23.72511,84.48299
Jharkhand,Lohardaga,23.4888,84.66052
Jharkhand,Pakur,24.5726,87.69692
Jharkhand,Palamu,24.19693,84.20311
Jharkhand,WEST SINGHBHUM,22.39941,85.54098
Jharkhand,EAST SINGHBUM,22.59133,86.5091
Jharkhand,Ramgarh,23.6283,85.5211
Jharkhand,Ranchi,23.18424,85.31782
Jharkhand,SAHEBGANJ,24.93668,87.68264
Jharkhand,Saraikela Kharsawan,22.85591,85.89615
Jharkhand,Simdega,22.60876,84.59194
Karnataka,Bagalkot,16.15861,75.64526
Karnataka,Bengaluru Rural,12.93683,77.47369
Karnataka,Bengaluru Urban,12.90192,77.58686
Karnataka,Belgaum,16.16107,74.72329
Karnataka,Bellary,15.07438,76.47228
Karnataka,Bidar,17.95036,77.1946
Karnataka,Bijapur,16.84015,75.95909
Karnataka,CHAMARAJANAGAR,11.95248,77.02385
Karnataka,Chikmagalur,13.42529,75.67627
Karnataka,Chitradurga,14.29102,76.57822
Karnataka,Dakshin Kannad,12.8912,74.96216
Karnataka,DAVANGERE,14.33041,75.91724
Karnataka,Dharwad,15.34383,75.13831
Karnataka,Gadag,15.50713,75.64861
Karnataka,Gulbarga,17.07046,76.87504
Karnataka,Hassan,12.9451,76.1105
Karnataka,Haveri,14.73758,75.39612
Karnataka,Kodagu,12.39684,75.79337
Karnataka,Kolar,13.3128,78.01377
Karnataka,Koppal,15.65125,76.1617
Karnataka,Mandya,12.5749,76.8157
Karnataka,Mysore,12.2481,76.52882
Karnataka,Ramanagara,12.715035,77.281296
Karnataka,Raichur,16.0508,76.87369
Karnataka,Chikkaballapur,13.4342,77.7242
Karnataka,Shimoga,14.06385,75.17882
Karnataka,Yadgir,16.765,77.1405
Karnataka,PATHANAMTHITTA,9.2587,76.7832
Karnataka,Tumkur,13.59247,77.02298
Karnataka,Udupi,13.4504,74.7201
Karnataka,UTTAR KANNAD,14.53896,74.35229
Kerala,Alappuzha,9.542603,76.38011
Kerala,Ernakulam,10.00488,76.26958
Kerala,Idukki,9.80481,77.04587
Kerala,Kannur,11.94152,75.3521
Kerala,Kasaragod,12.3331,75.07768
Kerala,Kollam,8.929389,76.63608
Kerala,Kottayam,9.643701,76.4606
Kerala,Kozhikode,11.39292,75.71159
Kerala,Malappuram,10.9733,75.93911
Kerala,Palakkad,10.78493,76.4998
Kerala,Pattanamtitta,9.291312,76.86412
Kerala,Thiruvananthapuram,8.537102,76.88712
Kerala,Thrissur,10.45893,76.12322
Kerala,Wayanad,11.71528,76.07587
Lakshadweep,Kavaratti,10.43639,72.82993
Madhya Pradesh,Anuppur,23.18184,81.8656
Madhya Pradesh,Ashoknagar,24.63099,77.82974
Madhya Pradesh,Agar Malwa,23.710348,76.010178
Madhya Pradesh,Alirajpur,22.3053,74.352501
Madhya Pradesh,Balaghat,21.80021,80.4217
Madhya Pradesh,Barwani,21.70214,74.91005
Madhya Pradesh,Betul,21.96463,77.78734
Madhya Pradesh,Bhind,26.35951,78.76183
Madhya Pradesh,Bhopal,23.48073,77.39247
Madhya Pradesh,Burhanpur,21.36457,76.2446
Madhya Pradesh,Chhatarpur,24.81364,79.56449
Madhya Pradesh,Chhindwara,22.22797,78.76413
Madhya Pradesh,Damoh,23.76624,79.47049
Madhya Pradesh,Datia,25.90226,78.63917
Madhya Pradesh,Dewas,22.78511,76.46089
Madhya Pradesh,Dhar,22.57268,75.11056
Madhya Pradesh,Dindori,22.83738,81.04333
Madhya Pradesh,East Nimar,22.09899,76.55806
Madhya Pradesh,Guna,24.49044,77.22359
Madhya Pradesh,Gwalior,26.04074,78.12782
Madhya Pradesh,Harda,22.22766,77.07023
Madhya Pradesh,Hoshangabad,22.59527,78.02168
Madhya Pradesh,Indore,22.68027,75.91338
Madhya Pradesh,Jabalpur,23.18526,79.98329
Madhya Pradesh,Jhabua,22.41958,74.40922
Madhya Pradesh,Katni,23.72442,80.3382
Madhya Pradesh,Mandla,22.70349,80.38601
Madhya Pradesh,Mandsaur,24.19279,75.43589
Madhya Pradesh,Morena,26.37314,77.88447
Madhya Pradesh,Narsinghpur,22.95134,79.00202
Madhya Pradesh,Neemuch,24.70312,75.06608
Madhya Pradesh,Panna,24.45133,80.21133
Madhya Pradesh,Raisen,23.29252,78.16305
Madhya Pradesh,Rajgarh,23.7855,76.66431
Madhya Pradesh,Ratlam,23.50356,75.14896
Madhya Pradesh,Rewa,24.86118,81.57572
Madhya Pradesh,Sagar,23.80032,78.7194
Madhya Pradesh,Satna,24.62778,80.75547
